Summary_num,Macgregor_num_SL,new_line,new_station,Line,Station,Sta,Latitude,Longitude,Date,Year,Length (mm),WW (g),DW (g),Lipid (g),ppDDE_ppm_ww,opDDD_ppm_ww,opDDT_ppm_ww,ppDDD_ppm_ww,ppDDT_ppm_ww,tDDT_ppm_ww,A1254,Remove,NOTES,
517,264,88.35367,73.29307,,,,322600,1170730,551117,1955,27,0.1697,0.0424,0.0168,0.14,0,0.032,0.141,0.525,0.838,0.463,0,,
515,265,72.35067,99.74708,,,,341500,1195800,551111,1955,55,1.55,0.529,0.2545,0.245,0,0.036,0.082,0.221,0.584,0,0,,
516,266,70.62546,108.3215,,,,341630,1202430,551111,1955,47,1.0458,0.3669,0.18,0,0,0,0,0,0.584,0,0,,
511,267,56.34603,126.5096,,,,360300,1220200,550830,1955,55,1.9016,0.5601,0.2591,0.818,0,0,0.108,0.07,0.996,0,0,,
512,268,56.34603,126.5096,,,,360300,1220200,550830,1955,62,2.3144,0.7461,0.3358,0.155,0,0,0.041,0.074,0.27,0,0,,
415,269,93.3,30,93,30,93.3,325354,1173354,510908,1951,48,1.0252,0.3244,0.1194,0.02,0,0.008,0.011,0.051,0.09,0.117,0,,
416,270,93.3,30,93,30,93.3,325354,1173354,520513,1952,47,0.9045,0.296,0.1397,0.061,0.008,0.077,0.126,0.234,0.506,0.071,0,,
429,271,93.3,40,93,40,93.4,323354,1181453,520612,1952,46,0.8536,0.2789,0.1384,0.076,0,0.07,0.059,0.282,0.487,0,0,,
97,273,70,60,70,60,70.6,355255,1222156,660616,1966,76,4.731,1.6262,0.8911,0.476,0,0,0.062,0.078,0.616,0.383,0,,
439,272,93.3,50,93,50,93.5,321353,1185543,520611,1952,43,0.6629,0.2025,0.0981,1.091,0,0.07,0.229,0.295,1.685,0.156,0,,
121,274,73.3,60,73,60,73.6,352144,1215953,660715,1966,64,2.5608,0.8407,0.4198,0.238,0,0,0.003,0.008,0.249,0.417,0,,
122,275,73.3,60,73,60,73.6,352144,1215953,660715,1966,59,2.0028,0.7087,0.39,0.258,0,0,0.045,0.035,0.338,0.175,0,,
487,276,113.3,45,113,45,113.45,285603,1161921,540430,1954,38,0.4786,0.1794,0.084,0.06,0.022,0.004,0.048,0.096,0.23,0.09,0,,
510,277,109.084,76.52105,,,,285618,1161730,540430,1954,40,0.5358,0.193,0.0878,0.097,0.029,0.04,0.069,0.13,0.365,0.187,0,,
513,278,86.52904,75.57411,,,,325000,1173130,551108,1955,37,0.4706,0.1436,0.0636,0.089,0,0,0.046,0.113,0.248,0.277,0,,
514,279,86.52904,75.57411,,,,325000,1173130,551108,1955,25,0.1374,0.0325,0.0101,0.118,0,0.011,0.025,0.118,0.272,0.266,0,,
409,280,93.3,26.7,93,27,93.27,325600,1171900,521012,1952,43,0.5673,0.211,0.0839,0.093,0.078,0.117,0.242,0.352,0.882,0,0,,
146,281,80,55,80,55,80.55,341900,1204808,510731,1951,22,0.085,0.0194,0.0027,0.055,0,0.003,0.015,0.144,0.217,0.929,0,,
155,282,80,60,80,60,80.6,340900,1210900,521015,1952,35,0.3725,0.1148,0.0507,0.114,0.051,0.099,0.176,0.233,0.673,0,0,,
156,283,80,60,80,60,80.6,340900,1210900,530204,1953,34,0.3174,0.0973,0.0468,0.061,0.045,0.103,0.151,0.27,0.63,0,0,,
157,284,80,60,80,60,80.6,340900,1210900,530204,1953,38,0.4926,0.1458,0.0722,0.036,0.045,0.087,0.16,0.175,0.503,0,0,,
152,291,80,55,80,55,80.55,341900,1204808,571118,1957,29,0.2051,0.054,0.0204,0.237,0.093,0.032,0.37,0.275,1.007,0,0,,
153,292,80,55,80,55,80.55,341900,1204808,571118,1957,29,0.2047,0.053,0.019,0.187,0,0.015,0.035,0.107,0.344,0,0,,
162,293,80,60,80,60,80.6,340900,1210900,580210,1958,27,0.174,0.0366,0.0149,0.115,0.054,0.173,0.367,0.737,1.446,0.117,0,,
408,294,93.3,26.7,93,27,93.27,325600,1171900,520513,1952,38,0.4448,0.1533,0.0688,0.056,0.03,0.155,0.153,0.357,0.751,0.089,0,,
417,295,93.3,30,93,30,93.3,325354,1173354,520513,1952,35,0.3258,0.0928,0.0422,0.087,0.055,0.11,0.153,0.302,0.707,0.196,0,,
123,301,73.3,60,73,60,73.6,352144,1215953,660715,1966,22,0.0606,0.0083,0.0012,0.02,0.003,0.002,0.003,0.009,0.037,0.028,0,,
85,302,70,53,70,53,70.53,360655,1215205,660616,1966,17.5,0.0569,0.005,0.0005,0.002,0,0,0.001,0.003,0.006,0,0,,
124,303,73.3,70,73,70,73.7,350144,1224205,660716,1966,20,0.0589,0.0066,0,0.001,0.001,0.002,0.001,0.003,0.008,0.006,0,,
475,304,100,35,100,35,100.35,313109,1170651,660628,1966,19.5,0.047,0.0049,,0.004,0.001,0.003,0.001,0.011,0.02,0.031,0,,
164,305,80,60,80,60,80.6,340900,1210900,660718,1966,23,0.0898,0.0155,0.0036,0.356,0,0.018,0.027,0.041,0.442,0.331,0,,
12,305,43.3,50,43,50,43.5,405330,1250152,520714,1952,70,3.667,1.1736,0.6548,0.007,0,0.012,0.001,0.029,0.049,0.102,0,,
52,306,60,70,60,70,60.7,371650,1241956,660710,1966,21.5,0.0558,0.0032,0.0006,0.06,0,0,0.005,0.03,0.095,0.379,0,,
62,307,63.3,60,63,60,63.6,370540,1231360,660614,1966,33,0.4006,0.1173,0.0405,0.125,0.018,0,0.012,0.011,0.166,0,0,,
51,308,60,70,60,70,60.7,371650,1241956,650111,1965,30,0.2075,0.0466,0.0176,0.072,0,0,0.009,0.039,0.12,0.085,0,,
