UID,Cruise,Ship,OrderOcc,TowType,TowNumber,SpeciesCode,SpeciesName,ITISTSN,Size,Count,Datetime,Lat,Lon,Line,Station,family,weight,nearest.CalCOFI.site,line.station,year,month,distance.from.dumpsite,estimated.depth.nearest.CalCOFI.site,Type,ENSO.general,mean.temp.top.210,mean.salinity.top.210
1,197801,JD,15,CB,1,301,Triphoturus mexicanus,162766,17.3,1,1978-01-14 02:40:00 -08:00,31.167,-120.908,93.3,80,Myctophidae,0.06,93.3 80,93.3 80,1978,1,361,3848,WE,El.Nino,12.28,33.41
2,197801,JD,20,CB,1,301,Triphoturus mexicanus,162766,19.9,1,1978-01-15 01:50:00 -08:00,32.333,-118.533,93.3,45,Myctophidae,0.1,93.3 45,93.3 45,1978,1,147,1376,WE,El.Nino,NA,NA
3,197801,JD,44,CB,1,292,Stenobrachius leucopsarus,162664,23.5,1,1978-01-19 17:00:00 -08:00,32.658,-121.033,86.7,70,Myctophidae,0.15,86.7 70,86.7 70,1978,1,283,3771,WE,El.Nino,10.8,33.6
4,197801,JD,46,CB,1,260,Nannobrachium ritteri,623745,71,1,1978-01-20 03:50:00 -08:00,33.167,-120,86.7,55,Myctophidae,3.64,86.7 55,86.7 55,1978,1,166,1201,WE,El.Nino,NA,NA
5,197801,JD,67,CB,1,260,Nannobrachium ritteri,623745,38,1,1978-01-23 22:50:00 -08:00,33.8,-121.85,80,70,Myctophidae,0.61,80 70,80 70,1978,1,320,3631,WE,El.Nino,11.09,33.38
6,197803,JD,21,CB,1,301,Triphoturus mexicanus,162766,24,1,1978-02-22 18:00:00 -08:00,32.5,-118.192,93.3,40,Myctophidae,0.16,93.3 40,93.3 40,1978,2,129,1627,WE,El.Nino,11.46,33.64
7,197803,JD,22,CB,1,260,Nannobrachium ritteri,623745,27,1,1978-02-22 22:45:00 -08:00,32.675,-117.858,93.3,35,Myctophidae,0.23,93.3 35,93.3 35,1978,2,122,616,WE,El.Nino,NA,NA
8,197803,JD,23,CB,1,260,Nannobrachium ritteri,623745,33.4,1,1978-02-23 02:00:00 -08:00,32.842,-117.517,93.3,30,Myctophidae,0.42,93.3 30,93.3 30,1978,2,127,846,WE,El.Nino,11.66,33.72
9,197803,JD,23,CB,1,301,Triphoturus mexicanus,162766,21.5,1,1978-02-23 02:00:00 -08:00,32.842,-117.517,93.3,30,Myctophidae,0.12,93.3 30,93.3 30,1978,2,127,846,WE,El.Nino,11.66,33.72
10,197803,JD,29,CB,1,292,Stenobrachius leucopsarus,162664,23.3,1,1978-02-24 18:30:00 -08:00,33.475,-117.778,90,28,Myctophidae,0.15,90 28,90 28,1978,2,70,63,WE,El.Nino,NA,NA
11,197803,JD,40,CB,1,260,Nannobrachium ritteri,623745,27,1,1978-02-26 20:25:00 -08:00,31.4,-122.022,90,90,Myctophidae,0.23,90 90,90 90,1978,2,434,3879,WE,El.Nino,11.7,33.32
12,197803,JD,56,CB,1,260,Nannobrachium ritteri,623745,43,1,1978-03-03 00:15:00 -08:00,33.5,-119.317,86.7,45,Myctophidae,0.87,86.7 45,86.7 45,1978,3,84,1644,WE,El.Nino,10.78,33.77
13,197803,JD,62,CB,1,260,Nannobrachium ritteri,623745,38,1,1978-03-04 02:00:00 -08:00,33.567,-120.75,83.3,60,Myctophidae,0.61,83.3 60,83.3 60,1978,3,214,1397,WE,El.Nino,11.11,33.58
14,197803,JD,64,CB,1,301,Triphoturus mexicanus,162766,31,1,1978-03-04 17:00:00 -08:00,32.9,-122.133,83.3,80,Myctophidae,0.34,83.3 80,83.3 80,1978,3,376,4180,WE,El.Nino,11.08,33.4
15,197803,JD,68,CB,1,260,Nannobrachium ritteri,623745,19.8,1,1978-03-05 19:00:00 -08:00,33.808,-121.85,80,70,Myctophidae,0.09,80 70,80 70,1978,3,320,3631,WE,El.Nino,10.61,33.51
16,197803,JD,69,CB,1,292,Stenobrachius leucopsarus,162664,28,1,1978-03-06 01:00:00 -08:00,34.15,-121.15,80,60,Myctophidae,0.25,80 60,80 60,1978,3,273,2204,WE,El.Nino,10.96,33.47
17,197804,JD,60,CB,1,301,Triphoturus mexicanus,162766,21.6,1,1978-04-11 21:00:00 -08:00,33,-120.358,86.7,60,Myctophidae,0.12,86.7 60,86.7 60,1978,4,204,722,WE,El.Nino,NA,NA
18,197805,JD,59,CB,1,301,Triphoturus mexicanus,162766,22.5,1,1978-05-25 22:05:00 -08:00,33.333,-119.658,86.7,50,Myctophidae,0.14,86.7 50,86.7 50,1978,5,123,78,WE,El.Nino,NA,NA
19,197805,JD,62,CB,1,301,Triphoturus mexicanus,162766,29,1,1978-05-26 19:30:00 -08:00,33.308,-118.117,90,33,Myctophidae,0.28,90 35,90 33,1978,5,48,344,WE,El.Nino,NA,NA
20,197805,JD,65,CB,1,292,Stenobrachius leucopsarus,162664,72.5,1,1978-05-27 01:55:00 -08:00,33.45,-117.825,90,29,Myctophidae,3.86,90 30,90 29,1978,5,67,613,WE,El.Nino,NA,NA
21,197805,JD,73,CB,1,260,Nannobrachium ritteri,623745,34.2,1,1978-05-27 19:35:00 -08:00,32.5,-118.192,93.3,40,Myctophidae,0.45,93.3 40,93.3 40,1978,5,129,1627,WE,El.Nino,NA,NA
22,197805,JD,73,CB,1,301,Triphoturus mexicanus,162766,28,1,1978-05-27 19:35:00 -08:00,32.5,-118.192,93.3,40,Myctophidae,0.25,93.3 40,93.3 40,1978,5,129,1627,WE,El.Nino,NA,NA
23,197805,JD,79,CB,1,301,Triphoturus mexicanus,162766,33.5,1,1978-05-28 23:10:00 -08:00,32.658,-121.033,86.7,70,Myctophidae,0.42,86.7 70,86.7 70,1978,5,283,3771,WE,El.Nino,NA,NA
24,197807,JD,44,CB,1,301,Triphoturus mexicanus,162766,31,1,1978-06-30 23:10:00 -08:00,33.183,-118.375,90,37,Myctophidae,0.34,90 37,90 37,1978,6,53,1177,WE,El.Nino,NA,NA
25,197807,JD,77,CB,1,292,Stenobrachius leucopsarus,162664,68.5,1,1978-07-06 20:15:00 -08:00,34.15,-121.15,80,60,Myctophidae,3.28,80 60,80 60,1978,7,273,2204, ,Normal,NA,NA
26,197807,JD,77,CB,1,301,Triphoturus mexicanus,162766,30,1,1978-07-06 20:15:00 -08:00,34.15,-121.15,80,60,Myctophidae,0.31,80 60,80 60,1978,7,273,2204, ,Normal,NA,NA
27,197808,JD,35,CB,1,292,Stenobrachius leucopsarus,162664,20.5,1,1978-08-08 18:35:00 -08:00,32.375,-119.967,90,60,Myctophidae,0.1,90 60,90 60,1978,8,193,880, ,Normal,NA,NA
28,197808,JD,41,CB,1,292,Stenobrachius leucopsarus,162664,19,1,1978-08-09 21:05:00 -08:00,33.383,-117.962,90,31,Myctophidae,0.08,90 30,90 31,1978,8,58,613, ,Normal,NA,NA
29,197808,JD,42,CB,1,260,Nannobrachium ritteri,623745,24,1,1978-08-09 23:25:00 -08:00,33.417,-117.892,90,30,Myctophidae,0.16,90 30,90 30,1978,8,62,613, ,Normal,NA,NA
30,197808,JD,53,CB,1,301,Triphoturus mexicanus,162766,38,1,1978-08-12 00:00:00 -08:00,33.5,-119.317,86.7,45,Myctophidae,0.61,86.7 45,86.7 45,1978,8,84,1644, ,Normal,NA,NA
31,197902,TK,49,CB,1,292,Stenobrachius leucopsarus,162664,47.8,1,1979-02-22 22:00:00 -08:00,34.275,-119.983,82,47,Myctophidae,1.17,81.8 46.9,82 47,1979,2,174,578, ,Normal,NA,NA
32,197902,TK,61,CB,1,260,Nannobrachium ritteri,623745,25.5,1,1979-02-25 01:10:00 -08:00,31.4,-122.017,90,90,Myctophidae,0.19,90 90,90 90,1979,2,434,3879, ,Normal,NA,NA
33,197902,TK,73,CB,1,301,Triphoturus mexicanus,162766,23.3,1,1979-02-26 19:25:00 -08:00,32.5,-118.192,93.3,40,Myctophidae,0.15,93.3 40,93.3 40,1979,2,129,1627, ,Normal,NA,NA
34,197904,JD,70,CB,1,260,Nannobrachium ritteri,623745,36.2,1,1979-04-08 04:10:00 -08:00,32.9,-122.14,83.3,80,Myctophidae,0.53,83.3 80,83.3 80,1979,4,376,4180, ,Normal,NA,NA
35,197904,JD,76,CB,1,301,Triphoturus mexicanus,162766,29.4,1,1979-04-11 19:05:00 -08:00,32.678,-117.85,93.3,35,Myctophidae,0.29,93.3 35,93.3 35,1979,4,122,616, ,Normal,NA,NA
36,197904,JD,91,CB,1,260,Nannobrachium ritteri,623745,42.5,1,1979-04-14 22:40:00 -08:00,32.65,-119.475,90,53,Myctophidae,0.84,90 53,90 53,1979,4,143,1309, ,Normal,NA,NA
37,197904,JD,91,CB,1,301,Triphoturus mexicanus,162766,50.6,1,1979-04-14 22:40:00 -08:00,32.65,-119.475,90,53,Myctophidae,1.38,90 53,90 53,1979,4,143,1309, ,Normal,NA,NA
38,197904,JD,96,CB,1,292,Stenobrachius leucopsarus,162664,31.6,1,1979-04-16 00:15:00 -08:00,33.833,-118.625,86.7,35,Myctophidae,0.36,86.7 35,86.7 35,1979,4,32,662, ,Normal,NA,NA
39,197905,JD,2,CB,1,301,Triphoturus mexicanus,162766,27.8,1,1979-04-30 19:55:00 -08:00,32.842,-117.517,93.3,30,Myctophidae,0.25,93.3 30,93.3 30,1979,4,127,846, ,Normal,NA,NA
40,197905,JD,2,CB,1,301,Triphoturus mexicanus,162766,29.9,1,1979-04-30 19:55:00 -08:00,32.842,-117.517,93.3,30,Myctophidae,0.31,93.3 30,93.3 30,1979,4,127,846, ,Normal,NA,NA
41,197905,JD,3,CB,1,301,Triphoturus mexicanus,162766,27,1,1979-04-30 22:40:00 -08:00,32.675,-117.858,93.3,35,Myctophidae,0.23,93.3 35,93.3 35,1979,4,122,616, ,Normal,NA,NA
42,197905,JD,3,CB,1,301,Triphoturus mexicanus,162766,27.1,1,1979-04-30 22:40:00 -08:00,32.675,-117.858,93.3,35,Myctophidae,0.23,93.3 35,93.3 35,1979,4,122,616, ,Normal,NA,NA
43,197905,JD,3,CB,1,301,Triphoturus mexicanus,162766,28,1,1979-04-30 22:40:00 -08:00,32.675,-117.858,93.3,35,Myctophidae,0.25,93.3 35,93.3 35,1979,4,122,616, ,Normal,NA,NA
44,197905,JD,3,CB,1,301,Triphoturus mexicanus,162766,28.2,1,1979-04-30 22:40:00 -08:00,32.675,-117.858,93.3,35,Myctophidae,0.26,93.3 35,93.3 35,1979,4,122,616, ,Normal,NA,NA
45,197905,JD,3,CB,1,301,Triphoturus mexicanus,162766,28.5,1,1979-04-30 22:40:00 -08:00,32.675,-117.858,93.3,35,Myctophidae,0.27,93.3 35,93.3 35,1979,4,122,616, ,Normal,NA,NA
46,197905,JD,3,CB,1,301,Triphoturus mexicanus,162766,30.1,1,1979-04-30 22:40:00 -08:00,32.675,-117.858,93.3,35,Myctophidae,0.31,93.3 35,93.3 35,1979,4,122,616, ,Normal,NA,NA
47,197905,JD,25,CB,1,260,Nannobrachium ritteri,623745,38.4,1,1979-05-05 21:05:00 -08:00,33.167,-120,86.7,55,Myctophidae,0.63,86.7 55,86.7 55,1979,5,166,1201, ,Normal,NA,NA
48,197905,JD,25,CB,1,292,Stenobrachius leucopsarus,162664,39.5,1,1979-05-05 21:05:00 -08:00,33.167,-120,86.7,55,Myctophidae,0.68,86.7 55,86.7 55,1979,5,166,1201, ,Normal,NA,NA
49,197905,JD,76,CB,1,260,Nannobrachium ritteri,623745,23.2,1,1979-05-17 00:40:00 -08:00,33.478,-122.533,80,80,Myctophidae,0.15,80 80,80 80,1979,5,385,4007, ,Normal,NA,NA
50,198003,TK,12,CB,1,260,Nannobrachium ritteri,623745,33.1,1,1980-02-24 22:35:00 -08:00,32.342,-118.547,93.3,45,Myctophidae,0.41,93.3 45,93.3 45,1980,2,147,1376,WE,El.Nino,NA,NA
51,198101,JD,53,CB,1,301,Triphoturus mexicanus,162766,26.7,1,1981-01-18 05:48:00 -08:00,32.013,-119.24,93.3,55,Myctophidae,0.22,93.3 55,93.3 55,1981,1,202,1588, ,Normal,NA,NA
52,198101,JD,53,CB,1,301,Triphoturus mexicanus,162766,46.5,1,1981-01-18 05:48:00 -08:00,32.013,-119.24,93.3,55,Myctophidae,1.08,93.3 55,93.3 55,1981,1,202,1588, ,Normal,NA,NA
53,198101,JD,57,CB,1,260,Nannobrachium ritteri,623745,42,1,1981-01-18 17:49:00 -08:00,32.678,-117.872,93.3,35,Myctophidae,0.81,93.3 35,93.3 35,1981,1,122,616, ,Normal,NA,NA
54,198101,JD,59,CB,1,301,Triphoturus mexicanus,162766,24.8,1,1981-01-18 22:34:00 -08:00,32.912,-117.395,93.3,28,Myctophidae,0.18,93.3 28,93.3 28,1981,1,135,609, ,Normal,NA,NA
55,198101,JD,69,CB,1,301,Triphoturus mexicanus,162766,27.2,1,1981-01-20 17:12:00 -08:00,31.42,-121.992,90,90,Myctophidae,0.23,90 90,90 90,1981,1,434,3879, ,Normal,12.53,33.54
56,198101,JD,76,CB,1,260,Nannobrachium ritteri,623745,51.5,1,1981-01-21 21:04:00 -08:00,33.49,-119.323,86.7,45,Myctophidae,1.45,86.7 45,86.7 45,1981,1,84,1644, ,Normal,NA,NA
57,198101,JD,76,CB,1,301,Triphoturus mexicanus,162766,58,1,1981-01-21 21:04:00 -08:00,33.49,-119.323,86.7,45,Myctophidae,2.04,86.7 45,86.7 45,1981,1,84,1644, ,Normal,NA,NA
58,198101,JD,77,CB,1,260,Nannobrachium ritteri,623745,34,1,1981-01-22 00:10:00 -08:00,33.657,-118.975,86.7,40,Myctophidae,0.44,86.7 40,86.7 40,1981,1,48,737, ,Normal,NA,NA
59,198101,JD,87,CB,1,260,Nannobrachium ritteri,623745,30.8,1,1981-01-23 18:21:00 -08:00,32.912,-122.128,83.3,80,Myctophidae,0.33,83.3 80,83.3 80,1981,1,376,4180, ,Normal,NA,NA
60,198101,JD,88,CB,1,292,Stenobrachius leucopsarus,162664,22.3,1,1981-01-23 23:50:00 -08:00,32.578,-122.812,83.3,90,Myctophidae,0.13,83.3 90,83.3 90,1981,1,456,4247, ,Normal,NA,NA
61,198102,JD,6,CB,1,301,Triphoturus mexicanus,162766,36,1,1981-02-12 23:45:00 -08:00,32.913,-117.395,93.3,28,Myctophidae,0.52,93.3 28,93.3 28,1981,2,135,609, ,Normal,NA,NA
62,198102,JD,28,CB,1,292,Stenobrachius leucopsarus,162664,20,1,1981-02-13 18:06:00 -08:00,32.18,-118.893,93.3,50,Myctophidae,0.1,93.3 50,93.3 50,1981,2,170,1452, ,Normal,NA,NA
63,198102,JD,28,CB,1,292,Stenobrachius leucopsarus,162664,34,1,1981-02-13 18:06:00 -08:00,32.18,-118.893,93.3,50,Myctophidae,0.44,93.3 50,93.3 50,1981,2,170,1452, ,Normal,NA,NA
64,198102,JD,28,CB,1,301,Triphoturus mexicanus,162766,35,1,1981-02-13 18:06:00 -08:00,32.18,-118.893,93.3,50,Myctophidae,0.48,93.3 50,93.3 50,1981,2,170,1452, ,Normal,NA,NA
65,198102,JD,28,CB,1,301,Triphoturus mexicanus,162766,36,1,1981-02-13 18:06:00 -08:00,32.18,-118.893,93.3,50,Myctophidae,0.52,93.3 50,93.3 50,1981,2,170,1452, ,Normal,NA,NA
66,198102,JD,33,CB,1,301,Triphoturus mexicanus,162766,40,1,1981-02-13 22:01:00 -08:00,32.013,-119.232,93.3,55,Myctophidae,0.7,93.3 55,93.3 55,1981,2,202,1588, ,Normal,NA,NA
67,198102,JD,33,CB,1,301,Triphoturus mexicanus,162766,51,1,1981-02-13 22:01:00 -08:00,32.013,-119.232,93.3,55,Myctophidae,1.41,93.3 55,93.3 55,1981,2,202,1588, ,Normal,NA,NA
68,198102,JD,38,CB,1,301,Triphoturus mexicanus,162766,42,1,1981-02-14 01:25:00 -08:00,31.847,-119.572,93.3,60,Myctophidae,0.81,93.3 60,93.3 60,1981,2,233,1899, ,Normal,NA,NA
69,198104,PN,37,CB,1,301,Triphoturus mexicanus,162766,24,1,1981-03-31 16:35:00 -08:00,32.842,-117.515,93.3,30,Myctophidae,0.16,93.3 30,93.3 30,1981,3,127,846, ,Normal,NA,NA
70,198104,PN,45,CB,1,292,Stenobrachius leucopsarus,162664,20.8,1,1981-04-02 03:45:00 -08:00,31.755,-121.335,90,80,Myctophidae,0.11,90 80,90 80,1981,4,353,3694, ,Normal,11.74,33.66
71,198104,PN,61,CB,1,301,Triphoturus mexicanus,162766,29.7,1,1981-04-05 23:15:00 -08:00,33.167,-120.133,86.7,55,Myctophidae,0.3,86.7 55,86.7 55,1981,4,166,1201, ,Normal,11.1,33.77
72,198107,JD,66,CB,1,301,Triphoturus mexicanus,162766,48.5,1,1981-07-11 03:04:00 -08:00,33.418,-117.905,90,30,Myctophidae,1.22,90 30,90 30,1981,7,62,613, ,Normal,11.62,33.83
73,198107,JD,78,CB,1,292,Stenobrachius leucopsarus,162664,18.3,1,1981-07-14 00:15:00 -08:00,32.013,-119.233,93.3,55,Myctophidae,0.08,93.3 55,93.3 55,1981,7,202,1588, ,Normal,10.48,33.9
74,198107,JD,83,CB,1,292,Stenobrachius leucopsarus,162664,46,1,1981-07-14 22:14:00 -08:00,32.847,-117.532,93.3,30,Myctophidae,1.05,93.3 30,93.3 30,1981,7,127,846, ,Normal,11.87,33.79
75,198107,JD,83,CB,1,301,Triphoturus mexicanus,162766,21.5,1,1981-07-14 22:14:00 -08:00,32.847,-117.532,93.3,30,Myctophidae,0.12,93.3 30,93.3 30,1981,7,127,846, ,Normal,11.87,33.79
76,198107,JD,83,CB,1,301,Triphoturus mexicanus,162766,36,1,1981-07-14 22:14:00 -08:00,32.847,-117.532,93.3,30,Myctophidae,0.52,93.3 30,93.3 30,1981,7,127,846, ,Normal,11.87,33.79
77,198203,PN,4,CB,1,260,Nannobrachium ritteri,623745,41.3,1,1982-03-15 20:35:00 -08:00,32.54,-118.215,93.3,40,Myctophidae,0.77,93.3 40,93.3 40,1982,3,129,1627, ,Normal,NA,NA
78,198203,PN,4,CB,1,301,Triphoturus mexicanus,162766,21.8,1,1982-03-15 20:35:00 -08:00,32.54,-118.215,93.3,40,Myctophidae,0.12,93.3 40,93.3 40,1982,3,129,1627, ,Normal,NA,NA
79,198203,PN,9,CB,1,260,Nannobrachium ritteri,623745,46.3,1,1982-03-17 04:20:00 -08:00,31.508,-120.22,93.3,70,Myctophidae,1.07,93.3 70,93.3 70,1982,3,297,3931, ,Normal,NA,NA
80,198203,PN,34,CB,1,301,Triphoturus mexicanus,162766,28.2,2,1982-03-22 21:30:00 -08:00,33.477,-119.338,86.7,45,Myctophidae,0.26,86.7 45,86.7 45,1982,3,84,1644, ,Normal,NA,NA
81,198203,PN,34,CB,1,301,Triphoturus mexicanus,162766,28.2,2,1982-03-22 21:30:00 -08:00,33.477,-119.338,86.7,45,Myctophidae,0.26,86.7 45,86.7 45,1982,3,84,1644, ,Normal,NA,NA
82,198203,PN,34,CB,1,301,Triphoturus mexicanus,162766,33.6,1,1982-03-22 21:30:00 -08:00,33.477,-119.338,86.7,45,Myctophidae,0.43,86.7 45,86.7 45,1982,3,84,1644, ,Normal,NA,NA
83,198203,PN,34,CB,1,301,Triphoturus mexicanus,162766,34.1,1,1982-03-22 21:30:00 -08:00,33.477,-119.338,86.7,45,Myctophidae,0.45,86.7 45,86.7 45,1982,3,84,1644, ,Normal,NA,NA
84,198203,PN,36,CB,1,301,Triphoturus mexicanus,162766,26.7,1,1982-03-23 04:00:00 -08:00,33.157,-120.015,86.7,55,Myctophidae,0.22,86.7 55,86.7 55,1982,3,166,1201, ,Normal,NA,NA
85,198203,PN,55,CB,1,292,Stenobrachius leucopsarus,162664,21.8,1,1982-04-01 02:10:00 -08:00,33.817,-121.865,80,70,Myctophidae,0.12,80 70,80 70,1982,4,320,3631, ,Normal,NA,NA
86,198303,EB,2,CB,1,292,Stenobrachius leucopsarus,162664,28.9,1,1983-03-17 21:55:00 -08:00,33.327,-118.043,90,32,Myctophidae,0.28,90 30,90 32,1983,3,53,613,VSE,El.Nino,NA,NA
87,198306,EB,1,CB,1,301,Triphoturus mexicanus,162766,29.8,1,1983-06-13 19:30:00 -08:00,33.467,-117.783,90,28,Myctophidae,0.3,90 28,90 28,1983,6,70,63,VSE,El.Nino,NA,NA
88,198306,EB,4,CB,1,301,Triphoturus mexicanus,162766,49.5,1,1983-06-14 19:50:00 -08:00,32.627,-119.475,90,53,Myctophidae,1.3,90 53,90 53,1983,6,143,1309,VSE,El.Nino,NA,NA
89,198306,EB,4,CB,1,301,Triphoturus mexicanus,162766,54.5,1,1983-06-14 19:50:00 -08:00,32.627,-119.475,90,53,Myctophidae,1.71,90 53,90 53,1983,6,143,1309,VSE,El.Nino,NA,NA
90,198307,EB,2,CB,1,260,Nannobrachium ritteri,623745,50,1,1983-07-15 22:00:00 -08:00,33.337,-118.045,90,32,Myctophidae,1.33,90 30,90 32,1983,7,53,613,WL,La.Nina,NA,NA
91,198307,EB,2,CB,1,301,Triphoturus mexicanus,162766,32,1,1983-07-15 22:00:00 -08:00,33.337,-118.045,90,32,Myctophidae,0.37,90 30,90 32,1983,7,53,613,WL,La.Nina,NA,NA
92,198307,EB,2,CB,1,301,Triphoturus mexicanus,162766,35,1,1983-07-15 22:00:00 -08:00,33.337,-118.045,90,32,Myctophidae,0.48,90 30,90 32,1983,7,53,613,WL,La.Nina,NA,NA
93,198309,EB,2,CB,1,292,Stenobrachius leucopsarus,162664,49.5,1,1983-09-12 23:40:00 -08:00,33.342,-118.058,90,32,Myctophidae,1.3,90 30,90 32,1983,9,53,613,WL,La.Nina,NA,NA
94,198309,EB,2,CB,1,301,Triphoturus mexicanus,162766,51.2,1,1983-09-12 23:40:00 -08:00,33.342,-118.058,90,32,Myctophidae,1.43,90 30,90 32,1983,9,53,613,WL,La.Nina,NA,NA
95,198309,EB,6,CB,1,301,Triphoturus mexicanus,162766,17.3,1,1983-09-13 19:55:00 -08:00,32.577,-119.617,90,55,Myctophidae,0.06,90 53,90 55,1983,9,156,1309,WL,La.Nina,NA,NA
96,198310,EB,2,CB,1,301,Triphoturus mexicanus,162766,29,1,1983-10-10 21:00:00 -08:00,33.342,-118.053,90,32,Myctophidae,0.28,90 30,90 32,1983,10,53,613,WL,La.Nina,NA,NA
97,198310,EB,2,CB,1,301,Triphoturus mexicanus,162766,38.8,1,1983-10-10 21:00:00 -08:00,33.342,-118.053,90,32,Myctophidae,0.65,90 30,90 32,1983,10,53,613,WL,La.Nina,NA,NA
98,198310,EB,3,CB,1,301,Triphoturus mexicanus,162766,51.5,1,1983-10-11 01:55:00 -08:00,33.193,-118.345,90,37,Myctophidae,1.45,90 37,90 37,1983,10,53,1177,WL,La.Nina,NA,NA
99,198310,EB,8,CB,1,260,Nannobrachium ritteri,623745,29,1,1983-10-12 02:38:00 -08:00,32.237,-120.303,90,65,Myctophidae,0.28,90 70,90 65,1983,10,234,3806,WL,La.Nina,NA,NA
100,198310,EB,8,CB,1,260,Nannobrachium ritteri,623745,30,1,1983-10-12 02:38:00 -08:00,32.237,-120.303,90,65,Myctophidae,0.31,90 70,90 65,1983,10,234,3806,WL,La.Nina,NA,NA
101,198310,EB,8,CB,1,301,Triphoturus mexicanus,162766,23.5,1,1983-10-12 02:38:00 -08:00,32.237,-120.303,90,65,Myctophidae,0.15,90 70,90 65,1983,10,234,3806,WL,La.Nina,NA,NA
102,198311,EB,3,CB,1,301,Triphoturus mexicanus,162766,20.2,1,1983-11-05 03:15:00 -08:00,33.187,-118.37,90,37,Myctophidae,0.1,90 37,90 37,1983,11,53,1177,WL,La.Nina,NA,NA
103,198311,EB,7,CB,1,260,Nannobrachium ritteri,623745,24.3,1,1983-11-05 23:05:00 -08:00,32.417,-119.967,90,60,Myctophidae,0.17,90 60,90 60,1983,11,193,880,WL,La.Nina,NA,NA
104,198311,EB,7,CB,1,260,Nannobrachium ritteri,623745,30.2,1,1983-11-05 23:05:00 -08:00,32.417,-119.967,90,60,Myctophidae,0.32,90 60,90 60,1983,11,193,880,WL,La.Nina,NA,NA
105,198311,EB,8,CB,1,260,Nannobrachium ritteri,623745,24,1,1983-11-06 04:18:00 -08:00,32.252,-120.318,90,65,Myctophidae,0.16,90 70,90 65,1983,11,234,3806,WL,La.Nina,NA,NA
106,198311,EB,8,CB,1,260,Nannobrachium ritteri,623745,29,1,1983-11-06 04:18:00 -08:00,32.252,-120.318,90,65,Myctophidae,0.28,90 70,90 65,1983,11,234,3806,WL,La.Nina,NA,NA
107,198312,NH,1,CB,1,301,Triphoturus mexicanus,162766,18.3,1,1983-12-05 18:15:00 -08:00,33.47,-117.772,90,28,Myctophidae,0.08,90 28,90 28,1983,12,70,63,WL,La.Nina,NA,NA
108,198312,NH,2,CB,1,301,Triphoturus mexicanus,162766,23,1,1983-12-05 22:45:00 -08:00,33.325,-118.045,90,32,Myctophidae,0.14,90 30,90 32,1983,12,53,613,WL,La.Nina,NA,NA
109,198312,NH,3,CB,1,301,Triphoturus mexicanus,162766,16.7,1,1983-12-06 03:45:00 -08:00,33.18,-118.395,90,37,Myctophidae,0.06,90 37,90 37,1983,12,53,1177,WL,La.Nina,NA,NA
110,198312,NH,3,CB,1,301,Triphoturus mexicanus,162766,19,1,1983-12-06 03:45:00 -08:00,33.18,-118.395,90,37,Myctophidae,0.08,90 37,90 37,1983,12,53,1177,WL,La.Nina,NA,NA
111,198312,NH,7,CB,1,301,Triphoturus mexicanus,162766,19,1,1983-12-07 00:32:00 -08:00,32.248,-120.285,90,65,Myctophidae,0.08,90 70,90 65,1983,12,234,3806,WL,La.Nina,NA,NA
112,198312,NH,7,CB,1,301,Triphoturus mexicanus,162766,26.3,1,1983-12-07 00:32:00 -08:00,32.248,-120.285,90,65,Myctophidae,0.21,90 70,90 65,1983,12,234,3806,WL,La.Nina,NA,NA
113,198312,NH,8,CB,1,260,Nannobrachium ritteri,623745,30,1,1983-12-07 04:30:00 -08:00,32.05,-120.633,90,70,Myctophidae,0.31,90 70,90 70,1983,12,275,3806,WL,La.Nina,NA,NA
114,198403,JD,260,CB,1,292,Stenobrachius leucopsarus,162664,34.5,1,1984-02-23 22:33:00 -08:00,33.245,-121.442,83.3,70,Myctophidae,0.46,83.3 70,83.3 70,1984,2,295,3797,WL,La.Nina,10.94,33.65
115,198403,JD,260,CB,1,292,Stenobrachius leucopsarus,162664,50,1,1984-02-23 22:33:00 -08:00,33.245,-121.442,83.3,70,Myctophidae,1.33,83.3 70,83.3 70,1984,2,295,3797,WL,La.Nina,10.94,33.65
116,198403,JD,322,CB,1,292,Stenobrachius leucopsarus,162664,25.8,1,1984-02-27 02:02:00 -08:00,33.823,-118.628,86.7,35,Myctophidae,0.2,86.7 35,86.7 35,1984,2,32,662,WL,La.Nina,11.43,33.69
117,198403,JD,357,CB,1,292,Stenobrachius leucopsarus,162664,51,1,1984-02-28 21:20:00 -08:00,33.157,-120.005,86.7,55,Myctophidae,1.41,86.7 55,86.7 55,1984,2,166,1201,WL,La.Nina,10.97,33.73
118,198403,JD,357,CB,1,301,Triphoturus mexicanus,162766,30,1,1984-02-28 21:20:00 -08:00,33.157,-120.005,86.7,55,Myctophidae,0.31,86.7 55,86.7 55,1984,2,166,1201,WL,La.Nina,10.97,33.73
119,198403,JD,541,CB,1,301,Triphoturus mexicanus,162766,25.7,1,1984-03-08 01:45:00 -08:00,32.913,-117.395,93.3,28,Myctophidae,0.2,93.3 28,93.3 28,1984,3,135,609,WL,La.Nina,NA,NA
120,198406,NH,71,CB,1,292,Stenobrachius leucopsarus,162664,19.5,1,1984-06-16 18:30:00 -08:00,30.503,-122.252,93.3,100,Myctophidae,0.09,93.3 100,93.3 100,1984,6,502,4132,WL,La.Nina,12.43,33.49
